817	41
819	44
821	45
824	44
825	41
830	38
833	38
835	41
837	46
839	49
840	52
843	61
845	64
848	67
851	72
852	67
854	64
855	61
856	62
859	63
862	62
864	61
866	52
877	49
878	50
882	51
885	50
888	49
889	46
892	41
893	44
896	45
899	44
901	41
905	38
910	35
913	38
920	38
922	41
925	42
927	43
931	42
933	41
935	46
937	49
940	52
943	61
945	62
951	63
957	62
958	61
959	64
962	67
963	68
967	69
970	68
972	67
975	72
977	67
980	64
982	65
984	66
987	65
988	64
989	61
991	52
993	49
995	50
998	51
1001	50
1003	49
1004	46
1007	41
1009	44
1012	45
1014	44
1016	41
1018	38
1037	41
1040	42
1043	43
1046	42
1048	41
1050	44
1053	45
1057	44
1059	41
1061	46
1063	49
1065	52
1074	61
1076	64
1079	67
1082	72
1085	67
1089	64
1090	61
1092	62
1096	63
1100	62
1102	61
1104	52
1114	49
1116	46
1119	41
